Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Degree,Polygon
ASV429_B,ASV429_B,,4,0.394318,0.418748,966.430454,3,25,
ASV430_B,ASV430_B,,4,0.371786,0.39065,373.327883,4,16,
ASV432_B,ASV432_B,,4,0.376492,0.397534,502.866394,2,19,
ASV434_B,ASV434_B,,3,0.387854,0.412264,1064.123865,3,27,
ASV435_B,ASV435_B,,4,0.379235,0.401057,664.22724,5,22,
ASV437_B,ASV437_B,,3,0.407277,0.434678,1537.719364,8,33,
ASV44_B,ASV44_B,,4,0.386989,0.411463,1143.041091,2,27,
ASV440_B,ASV440_B,,3,0.398851,0.424432,1190.380259,4,28,
ASV441_B,ASV441_B,,4,0.359337,0.374159,172.596808,2,11,
ASV443_B,ASV443_B,,4,0.397632,0.423231,1215.235148,2,28,
ASV444_B,ASV444_B,,4,0.392682,0.416427,830.93728,7,23,
ASV445_B,ASV445_B,,4,0.355776,0.371358,206.809882,6,12,
ASV447_B,ASV447_B,,4,0.377996,0.399536,661.29511,2,21,
ASV448_B,ASV448_B,,3,0.386128,0.409702,755.074401,6,25,
ASV450_B,ASV450_B,,4,0.4068,0.434038,1468.769488,5,32,
ASV452_B,ASV452_B,,4,0.393871,0.418908,1146.441181,3,27,
ASV454_B,ASV454_B,,4,0.372718,0.392331,450.68143,5,18,
ASV455_B,ASV455_B,,4,0.403958,0.430756,1408.094958,4,31,
ASV456_B,ASV456_B,,4,0.381598,0.404739,706.212157,1,25,
ASV458_B,ASV458_B,,4,0.394917,0.419789,1160.985126,7,26,
ASV459_B,ASV459_B,,4,0.39402,0.419709,1480.284624,6,29,
ASV46_B,ASV46_B,,3,0.395817,0.420589,1196.78539,5,26,
ASV460_B,ASV460_B,,4,0.368757,0.387128,354.271229,1,16,
ASV461_B,ASV461_B,,4,0.394767,0.419549,1039.168559,4,26,
ASV463_B,ASV463_B,,4,0.39931,0.424672,1177.08154,1,27,
ASV464_B,ASV464_B,,4,0.371919,0.391931,492.937562,6,19,
ASV465_B,ASV465_B,,4,0.355897,0.371118,203.664964,4,12,
ASV466_B,ASV466_B,,3,0.389013,0.411944,722.677969,3,22,
ASV469_B,ASV469_B,,4,0.389013,0.412664,749.845194,3,24,
ASV47_B,ASV47_B,,3,0.390473,0.414505,949.071979,7,25,
ASV470_B,ASV470_B,,3,0.403645,0.430035,1299.117585,5,30,
ASV471_B,ASV471_B,,4,0.383708,0.40626,696.888688,3,22,
ASV473_B,ASV473_B,,4,0.371653,0.39041,368.365506,5,16,
ASV474_B,ASV474_B,,3,0.386701,0.410663,1011.038345,6,26,
ASV475_B,ASV475_B,,4,0.368105,0.386487,527.256521,8,17,
ASV476_B,ASV476_B,,3,0.383284,0.405219,633.377401,3,21,
ASV477_B,ASV477_B,,4,0.372184,0.391531,454.41585,8,18,
ASV478_B,ASV478_B,,3,0.396874,0.42171,955.808133,8,26,
ASV48_B,ASV48_B,,4,0.368365,0.387448,441.687481,5,17,
ASV480_B,ASV480_B,,4,0.387709,0.411063,690.534598,0,23,
ASV483_B,ASV483_B,,3,0.387565,0.410022,698.732873,4,21,
ASV486_B,ASV486_B,,4,0.388578,0.411864,884.060999,3,23,
ASV487_B,ASV487_B,,4,0.391943,0.416507,1086.995994,3,26,
ASV488_B,ASV488_B,,4,0.370859,0.391451,708.343989,6,21,
ASV489_B,ASV489_B,,3,0.39931,0.425232,1591.560337,5,29,
ASV49_B,ASV49_B,,4,0.39931,0.425312,1335.197131,3,29,
ASV492_B,ASV492_B,,3,0.406165,0.432917,1408.181747,3,31,
ASV493_B,ASV493_B,,4,0.37622,0.397534,572.535586,3,21,
ASV495_B,ASV495_B,,4,0.398545,0.423871,1051.644949,3,27,
ASV497_B,ASV497_B,,4,0.379097,0.402337,761.449984,6,25,
ASV499_B,ASV499_B,,4,0.383143,0.4057,693.186817,2,22,
ASV5_B,ASV5_B,,3,0.385984,0.408902,758.682827,6,23,
ASV50_B,ASV50_B,,4,0.396723,0.422991,1318.398007,2,30,
ASV500_B,ASV500_B,,4,0.380482,0.401537,563.117769,5,19,
ASV501_B,ASV501_B,,4,0.382439,0.404979,778.277086,3,23,
ASV503_B,ASV503_B,,4,0.380343,0.402257,691.707598,2,21,
ASV504_B,ASV504_B,,4,0.393275,0.418668,1145.839403,3,28,
ASV506_B,ASV506_B,,4,0.385841,0.408181,651.89106,3,21,
ASV51_B,ASV51_B,,3,0.391501,0.416266,1081.877217,6,27,
ASV510_B,ASV510_B,,4,0.383143,0.40682,1085.38271,6,26,
ASV511_B,ASV511_B,,4,0.388288,0.412904,1068.292966,5,27,
ASV513_B,ASV513_B,,4,0.376628,0.397775,589.357415,5,20,
ASV515_B,ASV515_B,,4,0.399003,0.426033,1472.211472,7,32,
ASV516_B,ASV516_B,,4,0.391206,0.415706,893.086247,5,25,
ASV517_B,ASV517_B,,4,0.384843,0.408341,833.69108,4,25,
ASV518_B,ASV518_B,,4,0.382861,0.405299,645.708844,3,22,
ASV519_B,ASV519_B,,3,0.387709,0.410503,871.909119,2,22,
ASV52_B,ASV52_B,,4,0.384701,0.408101,719.086032,2,24,
ASV521_B,ASV521_B,,3,0.398393,0.423951,1191.850653,5,28,
ASV523_B,ASV523_B,,3,0.404901,0.431316,1449.285221,4,30,
ASV525_B,ASV525_B,,3,0.384701,0.407461,871.614556,1,23,
ASV526_B,ASV526_B,,3,0.377996,0.398815,575.699153,4,20,
ASV527_B,ASV527_B,,3,0.40302,0.430035,1508.342189,3,32,
ASV528_B,ASV528_B,,4,0.394617,0.419068,899.56423,2,25,
ASV529_B,ASV529_B,,3,0.391206,0.415306,914.403901,4,25,
ASV532_B,ASV532_B,,4,0.375406,0.395773,583.596114,2,19,
ASV533_B,ASV533_B,,4,0.374191,0.394733,488.409137,2,19,
ASV536_B,ASV536_B,,4,0.392238,0.415866,852.372473,0,23,
ASV537_B,ASV537_B,,4,0.378408,0.399456,617.604389,1,20,
ASV538_B,ASV538_B,,3,0.386845,0.409542,736.004038,4,22,
ASV539_B,ASV539_B,,4,0.37965,0.401137,791.861295,6,21,
ASV54_B,ASV54_B,,3,0.400077,0.425392,1341.374984,4,27,
ASV540_B,ASV540_B,,4,0.390913,0.415146,904.828763,3,25,
ASV541_B,ASV541_B,,4,0.380205,0.401857,656.105978,6,21,
ASV542_B,ASV542_B,,4,0.389888,0.414265,1113.973922,8,26,
ASV543_B,ASV543_B,,4,0.390034,0.413865,872.98475,5,24,
ASV544_B,ASV544_B,,4,0.389159,0.413305,933.27847,5,25,
ASV546_B,ASV546_B,,4,0.391501,0.416026,1069.313042,1,26,
ASV548_B,ASV548_B,,4,0.373118,0.394412,491.281953,2,21,
ASV549_B,ASV549_B,,4,0.358471,0.373679,226.875615,4,12,
ASV55_B,ASV55_B,,4,0.394767,0.420589,1193.828278,2,29,
ASV550_B,ASV550_B,,4,0.37827,0.400656,743.202033,4,23,
ASV551_B,ASV551_B,,4,0.3809,0.403618,993.641181,6,24,
ASV552_B,ASV552_B,,4,0.391943,0.416907,899.158834,3,26,
ASV553_B,ASV553_B,,4,0.367325,0.385207,393.086875,6,16,
ASV554_B,ASV554_B,,4,0.393424,0.418108,1020.271728,3,26,
ASV555_B,ASV555_B,,4,0.37473,0.395293,464.102514,8,19,
ASV556_B,ASV556_B,,4,0.387277,0.410263,710.560448,4,22,
ASV558_B,ASV558_B,,4,0.383002,0.404819,583.784997,2,20,
ASV559_B,ASV559_B,,3,0.404901,0.431636,1483.556935,7,31,
ASV56_B,ASV56_B,,4,0.382159,0.40554,704.920702,8,25,
ASV560_B,ASV560_B,,3,0.393573,0.417867,875.88952,3,25,
