Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ASV_365,ASV_365,,6,0.324084,0.353539,222.577989,7
ASV_366,ASV_366,,5,0.327354,0.358904,660.983055,6
ASV_367,ASV_367,,6,0.327354,0.357534,313.344311,7
ASV_37,ASV_37,,6,0.331066,0.362386,278.124193,3
ASV_370,ASV_370,,4,0.337963,0.369578,347.077916,9
ASV_374,ASV_374,,6,0.298569,0.324886,168.809519,0
ASV_379,ASV_379,,5,0.277303,0.294977,28.617069,2
ASV_383,ASV_383,,6,0.26618,0.286872,63.715658,7
ASV_386,ASV_386,,6,0.308995,0.33847,324.397404,7
ASV_389,ASV_389,,6,0.2633,0.279852,5.074914,4
ASV_39,ASV_39,,5,0.339535,0.375171,595.909521,0
ASV_390,ASV_390,,5,0.317391,0.343779,147.796736,7
ASV_395,ASV_395,,5,0.281853,0.301541,68.324944,7
ASV_396,ASV_396,,5,0.321586,0.349943,346.861611,4
ASV_397,ASV_397,,5,0.308995,0.340468,374.943996,6
ASV_4,ASV_4,,6,0.367758,0.408505,1334.186074,6
ASV_40,ASV_40,,5,0.35012,0.384646,646.603079,9
ASV_400,ASV_400,,5,0.271881,0.293779,78.799232,6
ASV_402,ASV_402,,5,0.319825,0.350171,293.579749,1
ASV_403,ASV_403,,5,0.313641,0.341895,253.463438,9
ASV_405,ASV_405,,6,0.26691,0.284874,38.053525,9
ASV_406,ASV_406,,6,0.30385,0.329509,247.065035,7
ASV_408,ASV_408,,5,0.290837,0.317466,307.977099,8
ASV_412,ASV_412,,6,0.28997,0.313813,129.158584,1
ASV_413,ASV_413,,5,0.331066,0.365811,589.076993,9
ASV_416,ASV_416,,5,0.314995,0.340525,195.378992,1
ASV_420,ASV_420,,5,0.323725,0.353139,618.599236,9
ASV_422,ASV_422,,6,0.30385,0.328311,116.977528,1
ASV_424,ASV_424,,4,0.331818,0.36387,384.747042,9
ASV_426,ASV_426,,6,0.268629,0.287957,18.511293,1
ASV_43,ASV_43,,5,0.353939,0.389098,677.502801,9
ASV_436,ASV_436,,5,0.303534,0.326769,164.9742,5
ASV_437,ASV_437,,5,0.310969,0.340354,337.043884,7
ASV_438,ASV_438,,5,0.32553,0.355708,484.705623,9
ASV_439,ASV_439,,6,0.313978,0.341153,147.913573,1
ASV_44,ASV_44,,5,0.277303,0.298916,85.406551,9
ASV_440,ASV_440,,5,0.301031,0.322831,162.748553,7
ASV_441,ASV_441,,4,0.343529,0.376712,481.639005,9
ASV_442,ASV_442,,6,0.279962,0.303596,95.157353,7
ASV_443,ASV_443,,6,0.30608,0.335274,261.030373,0
ASV_45,ASV_45,,6,0.272134,0.294292,50.228522,2
ASV_455,ASV_455,,5,0.302591,0.327226,185.644313,5
ASV_458,ASV_458,,5,0.312634,0.337272,185.10658,8
ASV_46,ASV_46,,6,0.373402,0.411644,809.553394,8
ASV_462,ASV_462,,5,0.314655,0.34218,220.221813,2
ASV_463,ASV_463,,5,0.320175,0.348402,383.610269,8
ASV_465,ASV_465,,6,0.319126,0.348516,361.889541,7
ASV_47,ASV_47,,6,0.301342,0.326712,167.874416,2
ASV_473,ASV_473,,6,0.347619,0.389098,636.021676,0
ASV_474,ASV_474,,5,0.282672,0.305251,81.509372,9
ASV_475,ASV_475,,5,0.298569,0.32403,121.878629,9
ASV_479,ASV_479,,7,0.190104,0.197366,0,6
ASV_480,ASV_480,,5,0.306401,0.330822,48.337207,9
ASV_49,ASV_49,,6,0.286837,0.305137,0,1
ASV_492,ASV_492,,5,0.314316,0.339897,122.788015,6
ASV_50,ASV_50,,6,0.324444,0.358105,503.098326,2
ASV_500,ASV_500,,5,0.319475,0.348801,364.654742,4
ASV_502,ASV_502,,4,0.351807,0.385845,637.291766,7
ASV_503,ASV_503,,6,0.309979,0.336187,344.627748,8
ASV_508,ASV_508,,6,0.291127,0.31347,52.485661,1
ASV_51,ASV_51,,5,0.351807,0.384817,602.247044,8
ASV_512,ASV_512,,5,0.300103,0.323288,132.489516,1
ASV_515,ASV_515,,6,0.251941,0.26718,0,1
ASV_518,ASV_518,,5,0.292879,0.317694,173.429633,6
ASV_52,ASV_52,,5,0.328459,0.357991,329.373157,2
ASV_520,ASV_520,,6,0.323725,0.352797,231.675521,7
ASV_523,ASV_523,,5,0.277831,0.299087,123.537436,8
ASV_524,ASV_524,,5,0.296447,0.322603,163.62038,8
ASV_525,ASV_525,,5,0.326622,0.35782,394.017053,4
ASV_526,ASV_526,,7,0.267644,0.286448,35.904509,7
ASV_531,ASV_531,,5,0.338355,0.371975,455.019087,7
ASV_54,ASV_54,,6,0.360939,0.397089,868.061817,1
ASV_546,ASV_546,,5,0.282672,0.304338,87.162585,8
ASV_55,ASV_55,,6,0.301653,0.326484,116.676684,5
ASV_56,ASV_56,,6,0.372925,0.417066,1378.724224,1
ASV_560,ASV_560,,5,0.290258,0.315582,128.29704,7
ASV_566,ASV_566,,6,0.318083,0.349829,258.098699,4
ASV_58,ASV_58,,5,0.351807,0.38653,538.123768,0
ASV_585,ASV_585,,6,0.301342,0.333219,518.915261,7
ASV_588,ASV_588,,5,0.329944,0.358847,505.596842,4
ASV_59,ASV_59,,5,0.316703,0.343779,211.368912,9
ASV_598,ASV_598,,5,0.307368,0.334018,270.035154,9
ASV_6,ASV_6,,7,0.265696,0.285706,15.240855,2
ASV_61,ASV_61,,6,0.331442,0.360845,317.940736,0
ASV_628,ASV_628,,6,0.290258,0.314555,137.044308,7
ASV_63,ASV_63,,6,0.35054,0.390068,689.604197,0
ASV_64,ASV_64,,6,0.28997,0.314612,64.290536,9
ASV_646,ASV_646,,5,0.282126,0.306507,226.427053,7
ASV_65,ASV_65,,5,0.362283,0.400799,1123.484703,2
ASV_654,ASV_654,,7,0.267155,0.287533,49.950769,7
ASV_665,ASV_665,,5,0.339141,0.371975,527.454531,7
ASV_67,ASV_67,,6,0.325893,0.352968,208.509999,9
ASV_69,ASV_69,,5,0.34152,0.374543,618.41782,4
ASV_70,ASV_70,,5,0.328829,0.363813,514.853603,3
ASV_71,ASV_71,,6,0.28997,0.3125,140.713473,8
ASV_72,ASV_72,,5,0.334096,0.364555,387.361479,1
ASV_75,ASV_75,,5,0.343934,0.374943,286.554939,3
ASV_76,ASV_76,,6,0.311633,0.339212,217.431683,6
ASV_8,ASV_8,,6,0.34434,0.379795,516.8614,3
ASV_80,ASV_80,,5,0.340326,0.371689,302.710886,9
ASV_81,ASV_81,,6,0.337963,0.368836,394.332045,2
ASV_84,ASV_84,,5,0.346382,0.380251,376.863773,1
ASV_86,ASV_86,,6,0.311301,0.338242,171.563319,5
ASV_87,ASV_87,,5,0.33993,0.371404,506.654967,3
ASV_88,ASV_88,,5,0.316017,0.340982,163.669544,0
ASV_90,ASV_90,,6,0.282672,0.2996,30.946207,0
ASV_91,ASV_91,,5,0.344746,0.376541,283.049039,3
ASV_92,ASV_92,,5,0.35012,0.38282,399.935944,3
ASV_93,ASV_93,,6,0.335247,0.365126,306.732177,0
ASV_94,ASV_94,,5,0.313978,0.343836,413.636197,1
ASV_95,ASV_95,,5,0.336406,0.366838,450.771907,5
ASV_96,ASV_96,,6,0.312969,0.339212,190.880729,1
ASV_97,ASV_97,,5,0.316017,0.346575,354.088871,1
ASV_98,ASV_98,,5,0.307368,0.329795,49.329377,4
ASV_99,ASV_99,,6,0.30608,0.330308,63.541354,3
