Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ASV904,ASV904,,4,0.350084,0.372142,420.504665,0
ASV908,ASV908,,4,0.357673,0.381047,429.398334,4
ASV909,ASV909,,4,0.370787,0.396863,714.040575,3
ASV91,ASV91,,4,0.373882,0.397395,858.275428,0
ASV911,ASV911,,4,0.351655,0.374801,528.422309,2
ASV912,ASV912,,4,0.376125,0.401382,651.891943,6
ASV913,ASV913,,4,0.349109,0.369617,212.675518,0
ASV914,ASV914,,4,0.368607,0.39168,548.77867,6
ASV915,ASV915,,4,0.344505,0.364035,297.849753,4
ASV917,ASV917,,4,0.358081,0.381712,481.426988,0
ASV918,ASV918,,4,0.331571,0.35194,305.567793,2
ASV92,ASV92,,4,0.374776,0.400452,750.093392,1
ASV921,ASV921,,4,0.3466,0.364965,235.83844,6
ASV923,ASV923,,4,0.353239,0.374136,474.393198,4
ASV924,ASV924,,4,0.327586,0.346757,229.557036,4
ASV925,ASV925,,4,0.367526,0.390484,516.356768,1
ASV927,ASV927,,5,0.33122,0.351595,224.636548,4
ASV928,ASV928,,5,0.332097,0.349734,150.366016,3
ASV929,ASV929,,4,0.342062,0.361244,248.846598,5
ASV93,ASV93,,4,0.359518,0.380516,502.676461,4
ASV931,ASV931,,4,0.35625,0.382111,556.152796,4
ASV936,ASV936,,4,0.352842,0.372674,371.215908,0
ASV940,ASV940,,4,0.348527,0.368687,409.94459,6
ASV942,ASV942,,4,0.362009,0.382642,598.420561,6
ASV95,ASV95,,4,0.385609,0.413344,1149.2593,1
ASV950,ASV950,,4,0.340761,0.36151,194.296008,3
ASV951,ASV951,,4,0.342062,0.36563,379.568178,4
ASV954,ASV954,,4,0.358286,0.377193,356.853428,6
ASV955,ASV955,,4,0.352247,0.374668,428.007492,4
ASV958,ASV958,,4,0.352842,0.374003,528.839822,6
ASV959,ASV959,,4,0.350279,0.373737,556.537401,4
ASV96,ASV96,,4,0.364747,0.388756,531.585133,1
ASV966,ASV966,,4,0.354839,0.376396,411.178104,0
ASV969,ASV969,,4,0.368607,0.395003,769.224812,0
ASV97,ASV97,,4,0.378852,0.403907,778.539708,1
ASV970,ASV970,,4,0.378166,0.405104,1216.349552,6
ASV977,ASV977,,4,0.346218,0.365497,360.82522,2
ASV98,ASV98,,4,0.363057,0.384237,421.879009,0
ASV99,ASV99,,4,0.369041,0.392743,762.34488,3
ASV993,ASV993,,4,0.373659,0.399654,937.536562,0
ASV994,ASV994,,4,0.363689,0.385433,609.331785,1
