Id,Label,timeset,Polygon,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ASV421_B,ASV421_B,,,5,4,0.368737,0.388198,654.5879
ASV422_B,ASV422_B,,,3,4,0.376035,0.39681,414.45418
ASV423_B,ASV423_B,,,7,4,0.39212,0.416348,845.339008
ASV424_B,ASV424_B,,,0,4,0.389925,0.413317,661.953345
ASV425_B,ASV425_B,,,2,3,0.393597,0.417863,958.821328
ASV426_B,ASV426_B,,,7,3,0.393745,0.418022,758.416546
ASV427_B,ASV427_B,,,2,4,0.358983,0.374482,277.479124
ASV429_B,ASV429_B,,,2,4,0.396735,0.421611,975.427559
ASV430_B,ASV430_B,,,3,4,0.375629,0.395215,409.649053
ASV432_B,ASV432_B,,,0,4,0.377393,0.398405,467.020142
ASV434_B,ASV434_B,,,2,3,0.393005,0.418501,1172.625546
ASV435_B,ASV435_B,,,1,4,0.382224,0.404785,703.186409
ASV437_B,ASV437_B,,,2,3,0.40709,0.43445,1510.913087
ASV44_B,ASV44_B,,,3,4,0.386894,0.411324,1124.847766
ASV440_B,ASV440_B,,,1,3,0.40551,0.431898,1332.906026
ASV441_B,ASV441_B,,,1,4,0.356169,0.370175,132.364994
ASV443_B,ASV443_B,,,7,3,0.401769,0.427751,1247.687632
ASV444_B,ASV444_B,,,1,4,0.396886,0.421212,868.270669
ASV445_B,ASV445_B,,,3,4,0.360345,0.376555,239.872904
ASV447_B,ASV447_B,,,0,4,0.381944,0.404226,727.579855
ASV448_B,ASV448_B,,,3,3,0.390508,0.415152,837.9542
ASV450_B,ASV450_B,,,4,3,0.406615,0.433333,1364.115603
ASV452_B,ASV452_B,,,0,3,0.395234,0.420255,1101.014206
ASV454_B,ASV454_B,,,1,4,0.374686,0.394896,473.680581
ASV455_B,ASV455_B,,,0,4,0.405196,0.432297,1430.661684
ASV456_B,ASV456_B,,,2,4,0.387899,0.41236,855.694972
ASV458_B,ASV458_B,,,6,4,0.396434,0.421292,1104.045688
ASV459_B,ASV459_B,,,3,3,0.393449,0.41866,1253.52169
ASV46_B,ASV46_B,,,1,3,0.397036,0.42185,1138.219924
ASV460_B,ASV460_B,,,2,4,0.371622,0.390829,392.130625
ASV461_B,ASV461_B,,,3,4,0.395534,0.420335,992.300218
ASV463_B,ASV463_B,,,2,4,0.400383,0.425758,1117.822962
ASV464_B,ASV464_B,,,2,4,0.378623,0.39992,601.600429
ASV465_B,ASV465_B,,,6,4,0.356655,0.37193,205.988373
ASV466_B,ASV466_B,,,4,3,0.393005,0.416587,756.03592
ASV469_B,ASV469_B,,,2,4,0.393449,0.418102,828.445881
ASV47_B,ASV47_B,,,1,3,0.392415,0.416906,1004.136476
ASV470_B,ASV470_B,,,4,3,0.404412,0.430781,1236.176359
ASV471_B,ASV471_B,,,7,4,0.384474,0.407018,675.110967
ASV473_B,ASV473_B,,,1,4,0.371094,0.389633,344.993202
ASV474_B,ASV474_B,,,5,3,0.389344,0.413876,1017.35848
ASV475_B,ASV475_B,,,2,4,0.373214,0.392743,562.99677
ASV476_B,ASV476_B,,,0,3,0.385751,0.408293,645.852286
ASV477_B,ASV477_B,,,2,4,0.37083,0.389474,364.123607
ASV478_B,ASV478_B,,,1,3,0.397338,0.422169,929.439434
ASV48_B,ASV48_B,,,0,4,0.369388,0.388676,436.260237
ASV480_B,ASV480_B,,,1,4,0.38978,0.413716,750.131222
ASV483_B,ASV483_B,,,1,4,0.383768,0.405502,598.813519
ASV486_B,ASV486_B,,,4,4,0.39434,0.41874,951.24558
ASV487_B,ASV487_B,,,1,4,0.394936,0.420016,1110.184862
ASV488_B,ASV488_B,,,5,4,0.371754,0.392424,650.15437
ASV489_B,ASV489_B,,,4,3,0.398399,0.423923,1433.288421
ASV49_B,ASV49_B,,,0,4,0.400383,0.426715,1391.612095
ASV492_B,ASV492_B,,,0,3,0.409322,0.436364,1448.264284
ASV493_B,ASV493_B,,,0,4,0.383768,0.406619,650.805407
ASV495_B,ASV495_B,,,0,4,0.399923,0.425279,1018.521766
ASV497_B,ASV497_B,,,3,4,0.381109,0.404785,791.260308
ASV499_B,ASV499_B,,,0,4,0.38405,0.406619,652.244428
ASV5_B,ASV5_B,,,3,3,0.386322,0.40925,733.27448
ASV50_B,ASV50_B,,,0,4,0.398095,0.424402,1271.228826
ASV500_B,ASV500_B,,,1,4,0.383065,0.404705,606.719268
ASV501_B,ASV501_B,,,2,3,0.382924,0.405423,729.854958
ASV503_B,ASV503_B,,,0,4,0.38,0.401675,613.1821
ASV504_B,ASV504_B,,,0,4,0.398247,0.424242,1168.554161
ASV506_B,ASV506_B,,,0,4,0.38978,0.412839,681.017016
ASV509_B,ASV509_B,,,0,4,0.384332,0.408054,688.199228
ASV51_B,ASV51_B,,,3,3,0.392415,0.417225,1033.618205
ASV510_B,ASV510_B,,,5,4,0.387324,0.412121,1121.153867
ASV511_B,ASV511_B,,,7,4,0.385894,0.409968,952.745511
ASV513_B,ASV513_B,,,1,4,0.377802,0.399043,553.806653
ASV515_B,ASV515_B,,,7,4,0.399465,0.426475,1413.737656
ASV516_B,ASV516_B,,,0,4,0.39271,0.417145,842.647264
ASV517_B,ASV517_B,,,1,4,0.385182,0.408692,789.608025
ASV518_B,ASV518_B,,,6,4,0.383627,0.406061,624.220565
ASV519_B,ASV519_B,,,0,4,0.388187,0.411085,839.129904
ASV52_B,ASV52_B,,,3,4,0.385751,0.409171,692.419479
ASV521_B,ASV521_B,,,4,3,0.400998,0.426954,1219.252413
ASV523_B,ASV523_B,,,1,3,0.405668,0.432057,1397.976684
ASV525_B,ASV525_B,,,5,4,0.385324,0.408214,877.343082
ASV526_B,ASV526_B,,,6,3,0.378898,0.399841,549.409054
ASV527_B,ASV527_B,,,0,3,0.403943,0.430941,1433.315355
ASV528_B,ASV528_B,,,1,4,0.389489,0.41252,688.65813
ASV529_B,ASV529_B,,,1,3,0.394787,0.419458,967.157045
ASV532_B,ASV532_B,,,1,4,0.380138,0.401834,728.121975
ASV533_B,ASV533_B,,,1,4,0.374955,0.395534,486.116667
ASV536_B,ASV536_B,,,0,4,0.395983,0.420494,1001.645622
ASV537_B,ASV537_B,,,5,4,0.378898,0.39992,574.995593
ASV538_B,ASV538_B,,,2,3,0.392562,0.416427,843.94955
ASV539_B,ASV539_B,,,5,3,0.381526,0.403509,866.653935
ASV54_B,ASV54_B,,,6,3,0.401923,0.427273,1281.888236
ASV540_B,ASV540_B,,,1,4,0.391386,0.41563,844.223851
ASV541_B,ASV541_B,,,7,4,0.382364,0.404625,682.204855
ASV542_B,ASV542_B,,,2,3,0.389925,0.414195,1054.088476
ASV543_B,ASV543_B,,,5,4,0.389199,0.413158,873.943649
ASV544_B,ASV544_B,,,0,4,0.387324,0.410925,782.894702
ASV546_B,ASV546_B,,,5,3,0.392562,0.417065,1016.086703
ASV547_B,ASV547_B,,,1,4,0.393005,0.418262,1107.948929
ASV548_B,ASV548_B,,,0,4,0.377256,0.398963,519.109778
ASV549_B,ASV549_B,,,6,4,0.358245,0.373525,212.211143
ASV55_B,ASV55_B,,,0,4,0.395384,0.421212,1135.93954
ASV550_B,ASV550_B,,,1,4,0.381526,0.404545,765.54115
ASV551_B,ASV551_B,,,5,4,0.381805,0.404545,942.970158
ASV552_B,ASV552_B,,,0,4,0.394787,0.420175,961.706238
ASV553_B,ASV553_B,,,5,4,0.37149,0.390431,398.90217
ASV554_B,ASV554_B,,,7,4,0.393894,0.418581,959.96504
ASV555_B,ASV555_B,,,2,4,0.376305,0.397448,511.443227
ASV556_B,ASV556_B,,,3,4,0.387755,0.410766,676.948494
ASV558_B,ASV558_B,,,2,4,0.383768,0.405502,554.694687
ASV559_B,ASV559_B,,,7,3,0.40551,0.432217,1422.713115
ASV56_B,ASV56_B,,,2,4,0.382504,0.405821,702.569755
ASV560_B,ASV560_B,,,4,3,0.395234,0.419617,836.424619
ASV561_B,ASV561_B,,,3,4,0.381248,0.403828,696.751387
ASV562_B,ASV562_B,,,1,4,0.385751,0.408453,623.770126
ASV563_B,ASV563_B,,,3,4,0.384899,0.408373,873.292299
ASV564_B,ASV564_B,,,5,4,0.376577,0.398565,871.533592
ASV565_B,ASV565_B,,,4,3,0.402078,0.42807,1141.52181
ASV568_B,ASV568_B,,,6,4,0.39749,0.423445,1173.381515
ASV569_B,ASV569_B,,,1,4,0.388187,0.411962,800.092939
ASV57_B,ASV57_B,,,5,4,0.379035,0.400239,812.31264
ASV570_B,ASV570_B,,,2,4,0.397187,0.422408,1146.684206
ASV571_B,ASV571_B,,,0,4,0.384757,0.407815,626.175203
ASV572_B,ASV572_B,,,3,4,0.386322,0.410526,909.786266
ASV573_B,ASV573_B,,,6,4,0.392562,0.417225,1031.103291
ASV575_B,ASV575_B,,,0,4,0.384332,0.406858,570.185061
ASV576_B,ASV576_B,,,5,3,0.385751,0.407656,635.69251
ASV577_B,ASV577_B,,,0,4,0.393005,0.417145,858.302348
ASV578_B,ASV578_B,,,2,4,0.355321,0.370096,218.347834
ASV58_B,ASV58_B,,,0,3,0.390654,0.415311,898.345763
ASV580_B,ASV580_B,,,2,4,0.36641,0.383971,389.544141
ASV583_B,ASV583_B,,,2,3,0.394637,0.419936,1161.29307
ASV587_B,ASV587_B,,,1,4,0.390654,0.41555,869.189868
ASV589_B,ASV589_B,,,4,3,0.394787,0.419139,859.212066
ASV59_B,ASV59_B,,,2,4,0.374955,0.396013,514.003395
ASV590_B,ASV590_B,,,1,4,0.381526,0.402951,512.717845
ASV593_B,ASV593_B,,,5,4,0.388331,0.411244,706.072119
ASV594_B,ASV594_B,,,5,4,0.386036,0.409968,1046.303936
ASV595_B,ASV595_B,,,1,4,0.397641,0.423206,1078.142625
ASV597_B,ASV597_B,,,4,4,0.382364,0.404306,564.015944
ASV598_B,ASV598_B,,,0,4,0.387755,0.412759,982.998001
