ASV_ID,similarity,coverage,superkingdom,kingdom,phylum,class,order,family,genus,species
ASV_308,99,94,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Tritostichococcus,Tritostichococcus coniocybes
ASV_311,99.8,94.1,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Deuterostichococcus,Deuterostichococcus epilithicus
ASV_312,86.2,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis splendida
ASV_315,98.5,100,Eukaryota,Viridiplantae,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium,Klebsormidium crenulatum
ASV_322,95.3,80.8,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Dictyochloropsis reticulata
ASV_328,85.3,99.7,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris sp.
ASV_332,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris sp.
ASV_344,92.2,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Elliptochloris,Elliptochloris marina
ASV_345,87.9,99.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Stichococcus,Stichococcus bacillaris
ASV_353,91.7,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Elliptochloris,Elliptochloris marina
ASV_356,91.8,93.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Elliptochloris,Elliptochloris antarctica
ASV_359,99.8,94,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Tritostichococcus,Tritostichococcus coniocybes
ASV_361,97,99.7,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris sp.
