OTUid,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,MPC_01,MPC_02,MPC_03,MPC_04,MPC_05,MPC_06,MPC_07,MPC_08,MPC_09,MPC_10,MPC_11,MPC_12,MPC_13,MPC_14,MPC_15,MPC_16,MPC_17,MPC_18,PCN_1,PCN_2,PCN_3,PCN_4,PCN_5,PCN_6,PCN_7,PCN_8
ASV_11,164,428,790,102,2397,1031,2956,1496,2678,4712,2107,219,805,1435,624,111,1135,1502,1266,2482,1166,824,1062,352,3442,458,3000,2305,785,589,469,4171,1008,604,634,14642,1997,2144,1783,1288,4663,225,300,1190,419,7353,1182,2597,3721,834,2220,1021,512,407,741,198,843,2610,941,303,977,158,1429,664,950,500,1334,536,301,288,500,57,458,1532,4715,141,93,839,9,46,70,121,701,1755,4129,1595,2042,1228,161,864,210,554,203,1734,158,235,10,0,0,36,12,0,379,10,0,0,12,0,0,0,0,0,29,0,0,0,0,85,0,0,229,0,0,15,166,0,0,0
ASV_12,176,1145,1585,351,1625,114,1851,191,4674,2048,327,191,1681,1442,1479,13552,10934,936,138,1396,575,1045,299,222,743,16,44,109,674,352,858,41,1051,792,2681,1742,1162,1029,4710,1483,896,210,115,6117,1967,129,92,411,701,3275,630,1542,514,216,141,164,462,4943,743,59,219,65,149,2164,7252,2426,411,2207,904,4576,1507,64,2445,532,914,115,352,179,0,257,1249,501,1329,4347,23,1435,0,973,324,2102,431,715,445,254,4278,441,29,51,28,11,15,0,305,11,0,23,0,11,0,12,7,6,0,0,11,0,18,39,14,0,36,19,0,0,39,0,9,0
ASV_13,127,0,1791,69,1037,346,443,342,426,2179,3984,151,364,328,23,0,118,3278,658,1005,303,89,389,203,747,79,931,3890,359,749,547,3126,1266,415,1092,5577,341,621,5440,1925,13460,0,637,44,567,1886,403,928,870,524,420,82,109,830,116,0,2001,5753,2235,362,1321,58,158,323,605,0,292,727,1362,109,1753,12,3316,6049,462,19,0,257,0,434,44,634,3820,20,155,220,58,41,213,0,60,166,0,1082,250,1203,0,26,13,28,0,0,330,15,0,0,51,0,0,0,0,0,16,0,0,25,0,67,0,0,0,0,0,0,137,0,5,0
ASV_14,175,645,1288,220,1213,262,2224,489,3060,3057,293,434,269,467,896,230,323,1194,1533,1513,5210,771,739,563,2448,1267,1292,2995,377,596,77,317,1416,542,701,4285,2682,1031,740,262,536,27,112,2814,1468,435,372,1809,7402,764,633,1086,457,111,156,342,497,2478,101,71,36,13,78,2730,1888,749,246,772,522,974,555,12,103,117,909,30,165,391,38,222,219,246,232,343,720,427,31,234,136,137,652,8321,972,885,255,1969,0,0,0,0,0,0,206,16,0,8,0,0,7,0,0,0,13,0,0,0,14,199,0,21,72,9,0,0,34,5,0,8
ASV_15,0,105,771,0,507,1052,290,1400,149,0,118,949,792,244,142,226,0,1197,444,496,169,1149,515,0,401,1142,423,665,169,994,265,1565,3637,1994,0,783,243,0,0,140,0,488,210,411,1253,1404,0,493,0,204,276,115,4041,888,824,1131,0,1026,888,325,1420,391,0,401,1908,466,0,316,1407,1139,1423,0,457,217,757,0,0,503,0,689,89,717,1106,0,0,0,0,0,453,0,1729,6430,5059,2106,0,3912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_16,178,0,76,0,0,40,0,10,0,8,23,9,525,0,0,0,0,197,0,14,0,0,0,0,0,0,0,0,95,0,1672,57,0,4,215,0,0,0,0,0,0,622,2290,36,0,0,0,0,0,0,0,0,0,11,0,41,0,0,0,443,1631,0,0,0,0,0,0,35,0,0,232,29003,17,60,7,358,0,194,0,0,24717,83,0,0,0,0,26,0,647,123,0,19,7,3,99,0,0,0,53,187,0,0,0,34,0,24,0,0,0,0,0,0,0,16,145,0,10,0,0,0,0,0,0,5,0,0,0,0
ASV_17,67,15,345,12,41,1814,8,1335,114,12,14198,43,554,1547,12,188,194,190,98,91,110,30,10,125,34,12,2172,179,5233,5,364,74,46,57,231,612,0,342,110,216,1858,108,2043,0,246,43,0,0,27,201,61,6,26,34,21,53,9,93,30,178,467,234,130,120,64,23,253,0,51,10,144,57,512,42,60,0,0,9092,0,13,0,13,311,20,0,0,3969,23,586,26,10,108,2015,67,0,95,0,24,0,6,9,0,53,0,0,0,0,0,0,0,7,0,0,7,0,12,0,225,0,0,0,14,7,0,0,15,0,0
ASV_18,1015,344,941,776,680,1785,412,483,575,339,650,728,305,227,362,427,327,1451,534,1468,404,1182,652,3157,441,651,605,800,345,1383,944,705,1166,1431,578,1122,1265,113,123,127,287,226,241,140,1333,173,72,201,133,261,254,96,81,108,102,2417,39,258,429,56,53,75,89,155,309,489,243,256,250,190,478,87,595,324,217,156,148,1144,47,171,199,171,344,125,275,171,147,137,675,218,301,1151,1443,706,1948,2451,0,0,10,0,0,0,76,0,0,7,0,11,0,6,0,5,9,0,0,0,0,82,0,0,35,0,6,0,18,0,0,0
ASV_19,279,298,1262,293,367,964,657,69,234,1735,565,412,952,625,54,64,289,495,804,667,585,165,750,323,0,267,282,69,201,313,231,317,484,708,887,421,215,663,1086,249,167,380,757,30,2052,50,92,448,70,470,714,364,125,597,670,858,860,806,485,403,107,324,160,1022,1492,1019,186,1671,1631,735,393,240,757,875,624,490,175,841,81,232,364,249,610,0,1379,198,627,262,370,0,752,810,1265,929,80,982,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0
ASV_20,0,541,299,0,507,0,440,299,967,413,1215,268,1642,605,791,277,1130,917,374,1852,762,778,374,352,516,0,1043,679,157,0,588,909,416,481,620,1212,1134,1033,780,424,1419,0,292,469,517,997,507,777,527,466,725,361,0,253,341,321,0,533,652,0,473,0,737,618,987,776,622,553,340,481,548,0,158,330,292,0,0,904,0,0,0,0,580,0,770,0,307,145,0,0,433,888,0,324,201,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
