Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
ASV346,ASV346,,4,0.355391,0.375201,352.106458,8,0.023934,0.023934
ASV348,ASV348,,4,0.378493,0.405698,889.532489,4,0.056922,0.056922
ASV349,ASV349,,4,0.356,0.37801,495.118551,1,0.026052,0.026052
ASV350,ASV350,,4,0.360741,0.381354,441.06833,1,0.033859,0.033858
ASV351,ASV351,,4,0.368857,0.390316,506.682453,2,0.032335,0.032335
ASV353,ASV353,,4,0.376891,0.406635,909.206621,6,0.080264,0.080265
ASV355,ASV355,,4,0.385043,0.411316,1025.076648,7,0.055614,0.055615
ASV356,ASV356,,4,0.38011,0.407036,822.683368,0,0.065067,0.065067
ASV357,ASV357,,4,0.364968,0.388443,541.92108,0,0.04113,0.04113
ASV358,ASV358,,4,0.376208,0.403692,682.782077,0,0.067058,0.067059
ASV359,ASV359,,4,0.373501,0.396736,597.094628,0,0.037424,0.037424
ASV36,ASV36,,4,0.365182,0.388309,387.645307,0,0.045427,0.045427
ASV362,ASV362,,4,0.353375,0.373462,291.207439,2,0.025031,0.025032
ASV363,ASV363,,4,0.362842,0.384965,485.640232,7,0.031561,0.031561
ASV364,ASV364,,4,0.35784,0.378678,526.67186,4,0.025544,0.025544
ASV365,ASV365,,4,0.353977,0.379615,438.428583,6,0.042855,0.042856
ASV366,ASV366,,4,0.373054,0.40008,1100.581797,4,0.045331,0.045331
ASV367,ASV367,,4,0.37194,0.398074,602.328294,8,0.04864,0.048639
ASV368,ASV368,,4,0.382678,0.413456,864.594926,0,0.083539,0.083541
ASV370,ASV370,,4,0.371718,0.394997,690.745739,3,0.036871,0.036872
ASV372,ASV372,,4,0.392812,0.422686,1469.66367,0,0.064581,0.064581
ASV373,ASV373,,4,0.377805,0.403291,825.124526,4,0.054204,0.054204
ASV374,ASV374,,4,0.34212,0.360219,146.340592,0,0.020655,0.020655
ASV375,ASV375,,4,0.383857,0.411049,971.195694,2,0.061077,0.061077
ASV376,ASV376,,4,0.373501,0.400348,841.183747,0,0.050088,0.050088
ASV377,ASV377,,4,0.36561,0.388577,422.897021,0,0.042868,0.042868
ASV378,ASV378,,4,0.378954,0.404762,792.035073,1,0.057038,0.057038
ASV379,ASV379,,4,0.301549,0.317549,101.008893,1,0.007189,0.007189
ASV38,ASV38,,4,0.367986,0.393927,984.470805,4,0.04557,0.045569
ASV381,ASV381,,4,0.373501,0.401017,1043.214866,4,0.044899,0.044898
ASV382,ASV382,,4,0.314329,0.330524,50.908771,6,0.011908,0.011908
ASV383,ASV383,,4,0.337669,0.355939,275.566564,8,0.014037,0.014037
ASV386,ASV386,,4,0.375981,0.399813,706.553869,0,0.043571,0.043571
ASV387,ASV387,,4,0.3233,0.344302,149.167742,4,0.017316,0.017315
ASV388,ASV388,,4,0.35702,0.378545,436.634035,4,0.024857,0.024857
ASV389,ASV389,,4,0.36561,0.390316,547.500916,4,0.039309,0.039308
ASV39,ASV39,,4,0.375075,0.401284,666.613557,1,0.059299,0.059299
ASV391,ASV391,,4,0.3597,0.384029,554.271642,3,0.036083,0.036083
ASV392,ASV392,,4,0.329804,0.350054,251.630849,5,0.015671,0.015671
ASV393,ASV393,,4,0.373277,0.397405,854.518649,5,0.035462,0.035462
ASV395,ASV395,,4,0.373725,0.396335,822.779393,7,0.037878,0.037877
ASV396,ASV396,,4,0.373725,0.397673,829.772028,8,0.035828,0.035828
ASV398,ASV398,,4,0.33988,0.361825,416.189474,5,0.022261,0.022261
ASV399,ASV399,,4,0.359285,0.380284,361.948055,7,0.031104,0.031104
ASV40,ASV40,,4,0.383149,0.410781,1040.487747,1,0.063236,0.063236
ASV400,ASV400,,4,0.310105,0.327582,112.937693,5,0.009761,0.009761
ASV401,ASV401,,4,0.350788,0.369984,278.327274,2,0.022627,0.022627
ASV402,ASV402,,4,0.352775,0.373328,409.792401,1,0.024065,0.024065
ASV403,ASV403,,4,0.368639,0.391252,573.48963,4,0.035557,0.035556
ASV404,ASV404,,4,0.367769,0.390316,717.935504,7,0.030607,0.030606
ASV405,ASV405,,4,0.354179,0.376806,363.48639,2,0.02918,0.02918
ASV407,ASV407,,4,0.356816,0.38229,311.443407,6,0.049598,0.049599
ASV41,ASV41,,4,0.371718,0.396736,500.261674,4,0.051576,0.051576
ASV410,ASV410,,4,0.379184,0.405297,919.483411,8,0.051906,0.051906
ASV411,ASV411,,4,0.375301,0.403558,816.473476,0,0.058735,0.058736
ASV412,ASV412,,4,0.356611,0.377742,467.577194,5,0.023352,0.023351
ASV413,ASV413,,4,0.366255,0.388711,591.398835,3,0.032977,0.032977
