OTUid,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,MPC_01,MPC_02,MPC_03,MPC_04,MPC_05,MPC_06,MPC_07,MPC_08,MPC_09,MPC_10,MPC_11,MPC_12,MPC_13,MPC_14,MPC_15,MPC_16,MPC_17,MPC_18,PCN_1,PCN_2,PCN_3,PCN_4,PCN_5,PCN_6,PCN_7,PCN_8
ASV_11,748,93,1040,145,594,1138,265,4489,516,346,3568,677,771,1525,1312,195,308,634,650,3232,5351,460,285,179,2007,741,5637,4657,1802,904,4467,11352,1354,711,413,2127,221,1260,371,837,3037,333,1475,411,183,3034,2674,1748,1977,587,3798,89,513,684,516,2124,701,6713,1669,2456,4850,375,1319,199,235,81,1661,354,1083,271,1227,542,1042,767,3530,577,77,2511,21,866,147,175,1190,3161,1963,332,2098,503,1078,157,1733,4095,2093,1300,59,608,349,648,22,159,1120,0,419,52,0,69,21,0,25,8,4,26,0,17,34,0,11,138,0,0,134,0,21,44,160,0,44,19
ASV_12,275,6443,2438,101,1349,272,3276,546,4803,4332,240,537,3444,4101,7207,5111,1696,589,279,10698,1952,3094,647,0,725,234,232,413,154,404,999,202,799,689,2670,1698,4058,3346,2188,1057,3102,72,129,3797,2396,808,395,1273,2350,1194,444,443,323,45,108,151,525,2187,186,49,1724,41,555,1431,2471,702,998,258,1149,6496,1043,0,674,334,808,0,111,827,0,143,628,173,522,3934,348,2252,23,349,372,925,228,506,428,271,67,123,286,139,0,413,929,0,410,0,0,47,0,0,22,0,0,0,31,0,60,0,46,56,0,0,56,13,0,0,0,34,111,0
ASV_13,156,3595,1817,74,694,216,2187,465,3516,2103,248,342,2134,1306,6889,2609,4218,933,218,1784,1067,2156,404,0,628,210,165,292,97,614,368,147,265,487,1173,795,1617,3615,777,587,2614,0,63,4120,1219,512,193,893,1298,790,628,526,179,61,0,172,249,2911,198,0,1387,0,338,1611,2932,1622,489,491,890,8078,1095,0,1570,406,1151,0,99,685,0,46,610,144,526,3013,368,2842,74,500,394,5148,504,1268,707,331,256,175,0,168,66,1039,0,0,369,0,0,0,0,10,0,0,0,0,0,0,0,0,0,69,0,0,50,0,0,34,0,0,0,0
ASV_14,701,40,3232,3268,1003,1355,724,411,401,480,1984,1345,304,1399,1734,2327,2714,2437,1124,939,1818,2047,205,808,386,1880,26,125,77,4614,31,4114,2942,1440,257,2409,1966,1405,44,2126,3057,544,2787,97,360,159,284,373,3876,179,1111,762,964,610,347,3193,231,2144,855,202,43,62,233,1495,667,470,1906,1338,1791,1047,593,60,860,862,473,60,338,5046,2078,371,230,228,1587,113,181,40,198,350,513,95,38,23,31,70,0,175,0,6,11,0,8,0,221,23,0,38,26,0,0,0,0,11,6,14,0,0,0,275,5,13,61,0,16,25,82,0,0,7
ASV_15,549,52,347,88,282,300,174,738,441,189,1999,261,185,502,786,186,652,357,407,1156,1031,333,109,112,2806,348,5273,5556,1358,661,1068,4748,262,211,278,950,78,141,49,255,273,48,120,78,93,2809,3695,1963,3302,287,2080,32,111,552,655,580,222,1693,3891,1769,2939,123,4440,22,76,90,722,91,291,150,263,44,127,375,1281,394,34,1225,21,64,60,69,501,2413,5654,188,4615,1901,238,127,830,921,213,631,0,316,0,349,8,232,0,0,310,22,0,22,23,12,8,0,0,13,0,54,0,8,5,106,0,0,122,0,10,36,75,8,15,0
ASV_16,655,28,3021,21,991,101,994,1014,1908,1071,1108,600,319,1115,1003,363,90,1871,2355,8641,2282,342,2628,81,1508,515,1031,2433,280,710,23,2031,558,460,172,1333,160,909,310,1166,185,0,46,856,271,4017,1299,1977,2986,1638,500,124,70,46,438,678,172,1808,18,0,21,0,273,305,404,22,867,604,152,275,132,0,34,498,1910,11,33,1900,0,19,0,19,261,540,5819,614,3333,520,65,535,147,680,517,1316,0,957,180,543,231,138,0,0,279,0,0,0,35,20,11,0,0,8,0,50,23,0,12,104,6,0,141,0,17,14,39,7,72,0
ASV_17,151,579,240,0,307,85,455,3982,517,398,12,220,120,0,709,752,1086,141,194,1041,114,1965,1044,44,185,236,35,316,0,0,0,79,19,1997,118,197,131,398,50,597,1527,9,13,1496,516,800,313,1020,827,2115,2183,176,53,254,59,604,212,291,1000,0,179,7,197,1293,6336,3777,98,1525,1342,3055,4437,756,2699,261,1500,0,62,3691,0,923,590,355,1684,4035,939,2036,336,583,126,2090,0,0,0,11,0,18,86,26,20,0,0,0,246,21,0,9,0,0,0,0,0,0,0,6,28,0,0,46,0,0,30,4,10,8,0,0,5,0
ASV_18,67,658,1217,28,139,11,465,32,767,1867,53,44,387,2728,5264,958,766,396,56,2829,1505,1434,231,0,279,184,343,413,515,57,201,96,119,662,445,618,192,1145,186,80,2149,23,23,2522,2315,164,468,552,1084,892,595,135,67,0,0,85,893,5622,473,23,4055,24,503,1572,1537,153,128,134,179,373,639,26,248,1079,1485,13,64,92,0,56,125,6,451,2487,90,2359,0,566,98,2000,427,425,335,94,3077,74,0,0,46,740,0,0,279,24,0,16,8,7,16,22,0,0,18,6,0,0,0,25,0,0,10,0,0,0,0,0,31,0
ASV_19,183,1043,988,165,909,0,982,111,2191,974,185,177,388,1236,1221,6367,6772,280,45,663,316,323,102,13,394,22,0,0,408,184,684,18,417,259,1117,1030,245,561,2652,938,445,70,72,2112,622,53,74,144,459,2323,480,526,207,83,0,39,376,5645,652,53,195,0,101,583,3043,557,318,394,394,4668,1007,0,911,277,780,6,91,66,0,68,522,303,625,3140,19,599,0,719,101,949,170,128,136,41,273,89,0,0,0,0,0,0,251,15,0,17,0,0,10,0,0,7,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
ASV_20,389,33,18,80,0,419,0,65,14,0,17,189,601,39,756,27,14,8,393,0,19,0,106,313,222,1096,102,32,1109,585,12,6,87,49,42,187,504,0,16,0,0,351,37,0,43,18,236,895,51,1190,592,0,283,2036,237,271,39,95,4349,3428,3762,236,255,0,362,0,26,37,1265,247,5500,220,2108,2289,9580,320,41,1393,58,451,852,153,1351,24,197,0,388,59,1376,0,804,2146,6642,145,0,25,42,0,4,820,0,0,212,0,0,0,0,0,10,0,0,18,21,0,18,9,0,34,0,0,0,0,0,0,0,11,0,0
ASV_21,111,1088,488,50,0,0,98,0,232,408,12,121,25,134,113,587,879,47,0,53,520,1323,60,0,0,0,0,106,37,190,0,35,70,270,493,137,3976,93,252,534,692,15,39,3184,2058,0,0,0,44,1999,153,5445,210,0,30,91,36,1630,912,0,129,18,25,383,1431,2116,77,226,164,3936,4260,70,4193,272,375,0,56,0,12,76,362,58,2068,122,0,1777,0,1319,32,320,1251,753,866,182,3697,139,283,0,449,4068,0,16,173,0,0,28,0,0,0,20,0,22,11,0,0,0,0,0,0,0,17,12,0,0,53,0,0,17
ASV_22,205,542,1022,156,899,116,1667,382,1746,1793,332,575,64,392,984,96,143,290,817,1105,4595,318,294,73,1837,814,1384,2950,297,478,75,379,677,268,499,2602,879,747,439,147,338,14,70,1181,695,225,485,1152,5384,553,726,476,253,45,137,303,447,3198,113,63,12,7,81,866,1067,185,184,260,219,1140,426,0,13,129,1188,4,68,202,0,73,86,168,111,196,621,142,0,168,58,49,300,3211,404,194,0,709,35,0,0,0,0,0,232,0,0,11,0,0,18,0,0,0,0,0,0,0,0,147,0,0,27,0,0,0,0,0,0,0
ASV_23,74,164,103,245,22,0,22,0,73,8,0,104,11,117,52,63,27,6,0,93,9,18025,9,34,42,28,10,41,18,4611,10,16,8,27,28,31,35,0,0,56,31,25,4,61,161,5,0,15,0,105,220,131,78,62,80,66,42,379,149,43,134,72,33,48,305,701,0,170,135,2683,8636,217,9066,3548,911,83,304,71,168,58,212,378,520,12,40,24,33,73,19,18,43,94,108,15,1899,43,0,247,11,2351,0,3,128,0,0,20,0,0,0,0,0,0,3,0,0,0,0,122,19,11,0,0,8,0,4,0,0,0
ASV_24,320,167,314,1446,315,1425,260,2448,292,281,1883,548,545,463,210,622,414,543,315,797,154,330,282,241,163,537,1039,377,556,302,292,400,1322,234,496,410,380,1353,2320,1511,2862,1699,2259,693,802,366,294,250,142,242,228,108,197,787,819,1123,445,480,286,1025,817,524,337,286,136,74,604,132,268,1147,206,43,77,227,640,1117,359,1247,229,870,312,974,979,37,82,112,38,66,335,42,1610,631,615,560,561,976,320,249,10,28,0,6,82,10,3,12,10,0,8,0,0,0,0,0,22,0,6,23,0,0,39,12,17,27,0,0,5,5
ASV_25,443,352,1681,271,277,1203,635,0,27,1793,685,841,637,907,46,0,171,251,636,1222,569,87,930,0,0,270,300,52,292,911,236,586,490,579,547,291,19,606,1446,351,110,481,757,0,1314,72,127,196,179,453,776,254,0,571,1058,1166,1229,1355,546,464,206,271,81,813,1140,445,112,1010,2246,1059,550,283,533,770,948,648,122,914,15,163,310,95,1031,34,1514,68,805,341,490,0,919,647,1710,821,0,1472,0,289,0,0,0,355,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
ASV_26,163,889,464,321,0,0,1148,0,173,3149,0,380,69,393,396,184,87,4519,42,1540,2991,1419,2015,0,0,162,0,0,0,16,0,44,638,233,172,56,49,0,397,0,121,0,0,18,3201,0,0,679,680,0,0,55,0,5,0,959,0,25,0,0,0,0,0,1961,674,3838,12,60,32,398,5867,0,3589,1736,0,0,0,0,0,0,0,0,0,36,0,2590,0,80,19,14,0,0,659,55,0,0,134,0,0,0,0,0,147,0,0,0,13,0,0,0,0,0,0,10,0,0,0,30,5,0,0,0,0,0,0,0,0,0
ASV_27,1719,0,0,1343,14,1596,4,56,26,0,0,275,0,76,0,238,863,40,70,0,12,30,0,856,0,0,32,21,236,495,618,107,103,0,106,0,0,0,0,0,0,794,967,29,37,0,0,0,0,30,227,2087,1784,997,283,1452,0,79,737,845,213,237,0,0,8,57,0,0,75,24,164,16,169,175,207,11002,3461,465,5269,544,3162,1949,261,0,0,13,0,45,1317,0,31,0,0,0,35,0,0,251,6,0,0,0,140,0,0,4,23,0,0,0,0,13,0,0,12,12,0,0,0,0,19,0,0,0,159,0,0,18
